Student_ID,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Performance_Ratio,GPA_avg,Health_Risk_Proxy,Stress_Level_Proxy,Study_Hours_Proxy,Sleep_Quality_Proxy,Physical_Activity,Mental_Depression,Mental_Anxiety,Daily_Study_Hours,Social_Media_Hours,Transport_User,Avg_Attendance,Teacher_Consultancy,Health_Issues_Reported,Target_encoded,StudentWorker,Living_With_Family
64759,1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,,0.0,1,4.64,33.25,0,1,0,1,4.0,5.0,0,97,1,0.0,0,0,1
22456,1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.67,0,13.9,-0.3,0.79,Graduate,1.0,13.83,2,3.46,38.93,2,1,1,0,2.0,2.0,1,95,0,0.0,2,0,1
63401,1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,0.0,0.0,0,5.02,30.94,1,1,0,1,3.0,2.0,0,98,1,0.0,0,1,1
72903,1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.43,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,1.0,12.91,0,2.85,26.41,1,1,0,0,2.0,4.0,0,68,1,0.0,2,0,0
76338,2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.33,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,0.83,12.67,1,6.71,5.0,2,0,0,0,2.0,5.0,0,90,1,0.0,2,0,1
11966,2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.86,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,1.0,11.68,1,3.68,40.83,2,1,0,0,2.0,5.0,0,88,0,0.0,2,0,0
70433,1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.34,0,15.5,2.8,-4.06,Graduate,1.0,13.82,2,3.95,41.42,0,1,0,1,5.0,2.0,0,90,0,0.0,2,0,1
18341,1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,0.0,0.0,0,9.37,21.2,2,1,1,0,2.0,5.0,0,80,1,1.0,0,0,1
50681,1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.88,0,0,6,7,6,14.14,0,16.2,0.3,-0.92,Graduate,1.0,14.01,1,5.96,9.08,0,1,1,0,6.0,3.0,1,87,1,0.0,2,0,1
16606,1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,0.83,12.45,2,3.95,34.52,2,0,0,1,5.0,6.0,1,90,1,1.0,0,0,0
33822,1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.33,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,1.0,13.27,1,4.09,28.12,1,0,0,1,2.0,2.0,0,100,1,0.0,2,0,1
54743,1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.21,0,0,8,8,7,13.21,0,12.7,3.7,-1.7,Graduate,0.88,13.21,0,4.92,29.58,2,1,0,1,2.0,2.0,1,80,1,1.0,2,0,1
84337,1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,0.0,0.0,0,3.68,39.02,1,0,0,1,1.0,4.0,1,79,0,0.0,0,0,0
82564,1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.57,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,1.0,10.79,1,1.22,31.83,0,1,0,1,3.0,2.0,0,100,1,1.0,2,1,1
71567,1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,0.8,12.62,1,1.41,59.86,0,1,0,0,2.0,3.0,0,50,1,0.0,2,0,0
97173,1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,0.83,6.6,1,4.62,32.86,2,0,0,1,3.0,1.0,0,90,0,0.0,0,0,1
39660,1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,0.17,11.5,1,9.21,27.04,0,2,1,0,5.0,3.0,0,100,0,0.0,1,1,1
30475,1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.31,0,0,8,8,8,14.54,0,15.5,2.8,-4.06,Graduate,1.0,13.93,1,9.75,37.63,2,2,0,0,4.0,1.0,1,100,0,0.0,2,0,0
57942,1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,0.8,12.38,1,6.2,30.42,2,0,0,0,3.0,6.0,1,98,1,1.0,2,0,0
96434,1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.67,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,0.86,12.58,0,5.6,23.46,0,2,0,1,4.0,5.0,0,90,0,0.0,1,0,1
92391,1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,,0.0,1,5.54,7.75,1,1,1,1,4.0,1.0,0,100,1,0.0,2,0,1
28093,1,18,4,9556,1,1,127.0,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.44,0,0,8,9,8,11.42,0,12.7,3.7,-1.7,Enrolled,1.0,11.43,1,4.3,23.12,2,1,0,0,1.0,3.0,1,100,0,0.0,1,0,0
44534,1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.86,0,0,8,12,7,12.86,0,12.7,3.7,-1.7,Graduate,0.88,12.86,1,4.94,43.15,1,1,1,0,6.0,5.0,0,99,0,0.0,2,0,0
34954,1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.38,0,0,6,7,6,12.29,0,11.1,0.6,2.02,Graduate,1.0,12.83,0,9.09,16.75,0,0,1,1,8.0,3.0,0,90,0,0.0,2,1,0
20365,1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.3,0,0,8,9,7,14.11,0,11.1,0.6,2.02,Graduate,0.86,13.71,1,4.89,30.05,0,1,0,0,7.0,2.0,1,95,0,0.0,2,0,0
50549,1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,0.83,11.3,1,4.9,11.61,0,1,0,0,5.0,3.0,0,70,0,0.0,1,0,0
21746,1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.38,0,0,6,9,6,13.29,0,16.2,0.3,-0.92,Graduate,1.0,12.33,1,5.73,25.59,2,0,0,0,3.0,9.0,1,100,1,0.0,2,0,0
